,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,5.601767829703753,3.202950053305172,5.048895606953201,0.0,0.0,0.0,0.0
2018-01-01,7.694071740959301,3.455683831892107,6.816512597771189,0.0,0.0,0.0,0.0
2019-01-01,8.060590791907982,3.446268430380155,7.142457254003045,0.0,0.0,0.0,0.0
2020-01-01,8.176610344698016,3.425765515096232,7.248987785019925,0.0,0.0,0.0,0.0
2021-01-01,8.233607311082629,3.414322089454686,7.301505237131086,0.0,0.0,0.0,0.0
2022-01-01,8.263331512563402,3.4083617357830334,7.328884789319922,0.0,0.0,0.0,0.0
2023-01-01,8.278836406174898,3.4052598417379483,7.343165029409597,0.0,0.0,0.0,0.0
2024-01-01,8.286916276686066,3.403643997693264,7.350606604909102,0.0,0.0,0.0,0.0
