,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,2.9409785791237457,3.1082648715694807,3.848250617422674,0.0,-0.2128775311024598,0.0,2.771398845127715,0.1695797339960401,-0.2128775311024599
2018-01-01,10.728439406257937,4.290265292353436,9.5038793210059,0.0,0.14727521370889599,0.0,7.351993232265244,3.376446173992691,0.14727521370889587
2019-01-01,5.495896915980939,2.9106326108931846,5.3661140548743615,0.0,-0.09381077624014203,0.0,3.870262048557122,1.6256348674238197,-0.09381077624014214
2020-01-01,10.732831149390778,3.879056878877331,9.199760691384764,0.0,0.16280625117459466,0.0,6.804032648033989,3.9287985013567837,0.16280625117459455
2021-01-01,7.214097374336179,3.121615231994269,6.626871774698314,0.0,-0.00902796230031036,0.0,4.590087569062528,2.6240098052736522,-0.009027962300310471
2022-01-01,10.259100370022175,3.739375079396523,8.89882105756948,0.0,0.13230240444865268,0.0,6.35876941668918,3.900330953332991,0.13230240444865257
2023-01-01,8.105134786368232,3.2811400593347386,7.30745878093695,0.0,0.02882342232167187,0.0,4.997739684815958,3.1073951015522745,0.02882342232167176
2024-01-01,9.967987903479091,3.6678650953248284,8.705737953587825,0.0,0.11582855035476478,0.0,6.089280481570793,3.8787074219082975,0.11582855035476466
