,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,2.3333333333333313,1.222222222222225,2.3333333333333313,0.0,0.0,0.0,0.0
2018-01-01,2.6203703703703685,1.4135802469135823,2.6203703703703685,0.0,0.0,0.0,0.0
2019-01-01,2.5087448559670764,1.339163237311388,2.5087448559670764,0.0,0.0,0.0,0.0
2020-01-01,2.5521547782350233,1.368103185490019,2.5521547782350233,0.0,0.0,0.0,0.0
2021-01-01,2.5352731417974885,1.356848761198329,2.5352731417974885,0.0,0.0,0.0,0.0
2022-01-01,2.5418382226343077,1.3612254817562084,2.5418382226343077,0.0,0.0,0.0,0.0
2023-01-01,2.5392851356422113,1.3595234237614777,2.5392851356422113,0.0,0.0,0.0,0.0
2024-01-01,2.5402780028058043,1.360185335203873,2.5402780028058043,0.0,0.0,0.0,0.0
