,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,5.090395480225993,3.274011299435029,5.090395480225993,0.0,0.0,0.0,0.0
2018-01-01,3.428452871141749,2.7113536978518256,3.428452871141749,0.0,0.0,0.0,0.0
2019-01-01,4.5602392180815485,3.1537126573400944,4.5602392180815485,0.0,0.0,0.0,0.0
2020-01-01,3.9045223697156257,2.92001314742531,3.9045223697156257,0.0,0.0,0.0,0.0
2021-01-01,4.328320458145219,3.0811882603263143,4.328320458145219,0.0,0.0,0.0,0.0
2022-01-01,4.074106287976472,2.9885820094358326,4.074106287976472,0.0,0.0,0.0,0.0
2023-01-01,4.2345142429124465,3.0487812974279973,4.2345142429124465,0.0,0.0,0.0,0.0
2024-01-01,4.13672819629933,3.0128103221698734,4.13672819629933,0.0,0.0,0.0,0.0
