,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,5.500000000000012,3.2380952380952426,5.500000000000012,0.0,0.0,0.0,0.0
2018-01-01,4.607142857142861,3.0736961451247184,4.607142857142861,0.0,0.0,0.0,0.0
2019-01-01,4.806972789115653,3.0681621855091263,4.806972789115653,0.0,0.0,0.0,0.0
2020-01-01,4.698756883705869,3.03513518030039,4.698756883705869,0.0,0.0,0.0,0.0
2021-01-01,4.703324328597656,3.023858448285192,4.703324328597656,0.0,0.0,0.0,0.0
2022-01-01,4.6841255081289646,3.0140771730978715,4.6841255081289646,0.0,0.0,0.0,0.0
2023-01-01,4.679053005582331,3.0089016865846157,4.679053005582331,0.0,0.0,0.0,0.0
2024-01-01,4.673826027085765,3.005436650247214,4.673826027085765,0.0,0.0,0.0,0.0
