,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,163.08112649660686,13.409395622686747,58.349103020487355,3.3717194417360927,8.761182566408271,20.301262831349696,32.43416483949406
2018-01-01,120.14290734413353,15.793174761260433,65.11981356448051,2.179446240380744,4.818880194013955,6.240822288785367,13.239148723180055
2019-01-01,152.06498613178707,14.045945037850593,57.967424083849004,3.0075729565996694,8.63409756810047,17.183017753101957,28.824688277802093
2020-01-01,128.22221296432946,15.89525595922304,66.38375547454213,2.494780484200488,5.092893994713398,7.51966616308804,15.107340642001926
2021-01-01,151.74461432660806,14.394707285854336,59.46606169588377,3.0490896203667432,8.350867444000725,16.22770880818866,27.62766587255616
2022-01-01,131.88667094448002,15.908934810030097,66.51103189019918,2.6194527534257777,5.359190262010026,8.21440702857739,16.193050044013187
2023-01-01,151.23352140116498,14.620485544196248,60.530050552834375,3.0657676940920933,8.102126243717075,15.525876773114014,26.693770710923186
2024-01-01,134.33126322819797,15.874495312895528,66.36807400820466,2.694994901223075,5.585178510400878,8.796570001494025,17.07674341311797
