,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,-299.855280581385,-54.42958995219782,-216.02926574839017,0.8557916184564355,-4.205014036079669,5.0769192208087075,-191.71278700445666,-108.14249357692835,1.7276968031854727
2018-01-01,949.2559193806409,172.93739819384464,692.7765894327187,0.8655826027505807,7.569216744338126,-10.26322626148637,637.9998882671775,311.2560311134627,-1.8284269143976504
2019-01-01,-1709.7869555054688,-311.15778577378506,-1257.4428677403907,-2.0141501429343247,-9.468251684030909,18.881762889153084,-1132.5717867376222,-577.215168767845,7.39936106218781
2020-01-01,2499.417738018125,459.3285557914597,1855.8793310123197,6.823500403459239,7.102400628356941,-21.64567814528172,1665.5732642137652,833.8444738043559,-7.719777113465509
2021-01-01,-2172.1709261293695,-404.80930433044495,-1651.4319457101078,-11.281178580064399,8.17708762447773,12.736277034164836,-1428.476465588191,-743.694460541175,9.632186078578119
2022-01-01,-714.4838611534876,-111.00793490674089,-416.4702218815059,16.45038621157464,-44.28525062739647,30.203864283454237,-495.5389969792688,-218.94486417422107,2.368999867632456
2023-01-01,8803.316180381462,1577.5194727569467,6308.117492124546,-12.737279577185898,109.34360137150594,-124.35676177836773,5904.993090467624,2898.3230899138357,-27.750439984047656
2024-01-01,-23986.66628932372,-4344.176670092184,-17468.939257421895,-7.892314257324188,-194.09555908602968,285.88758849878735,-16004.761915638088,-7981.904373685617,83.89971515543331
