,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,3.2500000000000053,3.3125,3.4062500000000053,0.0,0.0,0.0,0.0
2018-01-01,5.567968749999999,3.1555483217592584,5.20367115162037,0.0,0.0,0.0,0.0
2019-01-01,4.263261447482643,2.9050058113171398,4.0472584468804955,0.0,0.0,0.0,0.0
2020-01-01,5.27322788885297,2.857475938317519,4.847778547279478,0.0,0.0,0.0,0.0
2021-01-01,4.682082521305684,2.7568557674194807,4.330899658018348,0.0,0.0,0.0,0.0
2022-01-01,5.128137263844463,2.7419288284876995,4.687203960096944,0.0,0.0,0.0,0.0
2023-01-01,4.862014397190187,2.700805197939346,4.4561721181547,0.0,0.0,0.0,0.0
2024-01-01,5.059510011538158,2.696452653406987,4.614787266150461,0.0,0.0,0.0,0.0
