,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,6.232621502209129,1.2825478645066275,5.473048600883649,0.0,0.0,0.0,6.455780559646536,-0.2231590574374065,0.0
2018-01-01,6.7322517438796075,1.7562615987515213,6.284911743207217,0.0,0.0,0.0,6.311622747488831,0.42062899639077855,0.0
2019-01-01,5.949488709090089,1.7310643275051765,5.365927823520123,0.0,0.0,0.0,4.993016933211376,0.9564717758787127,0.0
2020-01-01,4.873757381836563,1.6092163351174424,4.273331361276339,0.0,0.0,0.0,3.7521026969144717,1.1216546849220903,0.0
2021-01-01,4.398957032560455,1.4788447878230417,3.77305819981776,0.0,0.0,0.0,3.3889454933282326,1.0100115392322204,0.0
2022-01-01,4.47801947095489,1.4380016668085729,3.860988489933149,0.0,0.0,0.0,3.6385389024613612,0.8394805684935267,0.0
2023-01-01,4.771726237789917,1.460516246853239,4.1672810489802625,0.0,0.0,0.0,4.023897976256916,0.747828261532999,0.0
2024-01-01,4.980203923711665,1.4995537010478275,4.3842304049347565,0.0,0.0,0.0,4.230253526034182,0.7499503976774817,0.0
