,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,642.7822481259136,75.17341046002642,229.82702126211308,-60.13304031990012,-124.61893383996146,65.90039814995478,506.45418369117385,136.32806443473925,-118.85157600990678
2018-01-01,-2761.3730443783184,-295.39031164471055,-911.8970489551258,254.30263116279707,528.3746834381255,-297.8543611350754,-2154.4216504166056,-606.9513939617145,484.8229534658472
2019-01-01,12660.093673967634,1352.3334418934605,4293.190369435169,-915.5031841428147,-1922.71837380538,1361.4461687889998,9582.20730739634,3077.8863665712997,-1476.7753891591935
2020-01-01,-46260.316831464814,-4877.224843615227,-15596.916252798239,3144.9559890130827,6628.264686367554,-5004.884739652784,-34735.09229005281,-11525.224541412057,4768.335935727852
2021-01-01,161784.05652563178,16993.142708965017,54702.50648045119,-10272.241137990908,-21733.094089259805,17522.169459066183,120578.87102995244,41205.185495679456,-14483.165768184528
2022-01-01,-533626.2072338744,-55803.94109222034,-180361.67819850252,32514.369348521857,68964.0037170778,-57897.528308827445,-395939.5820388101,-137686.62519506476,43580.84475677224
2023-01-01,1703875.8403190495,177696.80272198995,576252.1763488356,-100067.20822949307,-212733.11302573807,185048.35999577362,1259493.9392650595,444381.90105399117,-127751.96125945766
2024-01-01,-5279750.697147096,-549237.3870848846,-1785887.470982158,300959.04369871103,641046.121174653,-573953.0173024448,-3891085.629868069,-1388665.0672790292,368052.14757091907
