,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,15.665889790929029,2.5998987962937052,7.629509117894963,-0.12203342958472618,0.0,0.0,14.487792008731757,1.178097782197268,-0.12203342958472618
2018-01-01,6.378204789904555,2.2975568397884336,4.210768425312205,0.1430463990377197,0.0,0.0,6.91573695284753,-0.5375321629429735,0.1430463990377197
2019-01-01,4.970878892447528,3.998238538297965,6.270970114240161,0.16293751984753535,0.0,0.0,2.9542123737757566,2.0166665186717703,0.16293751984753535
2020-01-01,8.16654643642501,4.296797196897106,7.7957462427591775,0.054145747104164754,0.0,0.0,5.297755428251182,2.868791008173826,0.054145747104164754
2021-01-01,8.972285832483053,3.6991037494582155,7.202410772870946,0.03897779589337769,0.0,0.0,6.9652991356085145,2.006986696874537,0.03897779589337769
2022-01-01,7.861106659307531,3.526553109693716,6.58071664978371,0.07815228921168327,0.0,0.0,6.26202543975925,1.59908121954828,0.07815228921168327
2023-01-01,7.442366878379948,3.7293591933132584,6.736175424689047,0.088082908276921,0.0,0.0,5.568521088697538,1.8738457896824086,0.088082908276921
2024-01-01,7.807415695941585,3.8142738336116375,6.982456851620137,0.07472580639257365,0.0,0.0,5.754563995742843,2.052851700198741,0.07472580639257365
