,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,12.081300024995047,3.966446636154494,9.208771040381464,0.0,-0.0830528555926864,0.0,9.475635769116085,2.605664255878962,-0.08305285559268633
2018-01-01,16.267840324182814,3.9242158765622706,11.004517332879395,0.0,0.07330170538323723,0.0,12.955620873415535,3.3122194507672744,0.07330170538323733
2019-01-01,16.013885491920895,4.140136256826059,11.606073564816661,0.0,0.07734271867934663,0.0,12.44383779984832,3.570047692072578,0.07734271867934661
2020-01-01,15.485005529044434,3.928959225424773,10.864068644442867,0.0,0.05250795429837064,0.0,12.18949996939554,3.295505559648889,0.052507954298370636
2021-01-01,15.790592341582055,4.0273205956410445,11.181970219253026,0.0,0.07201466407645386,0.0,12.436831202146523,3.353761139435527,0.0720146640764539
2022-01-01,15.740034398903287,4.037771833103679,11.205604661869703,0.0,0.05943438666037311,0.0,12.341941964867212,3.3980924340360708,0.0594343866603731
2023-01-01,15.790852401306486,3.997304921676293,11.120988847685481,0.0,0.06562985876301865,0.0,12.438949361404175,3.351903039902306,0.06562985876301874
2024-01-01,15.806176143887535,4.038057928163916,11.227871071347412,0.0,0.06591728995006942,0.0,12.415285205555525,3.390890938332008,0.0659172899500694
