,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,6.125827814569536,2.4317880794701985,6.125827814569536,0.0,0.0,0.10516556291390744,0.10516556291390733
2018-01-01,7.082856015087054,3.2848762773562536,7.082856015087054,0.0,0.0,0.13070100434191484,0.13070100434191473
2019-01-01,6.229773128923416,2.802266111274892,6.229773128923416,0.0,0.0,0.09263672709602921,0.0926367270960291
2020-01-01,6.81996314313248,3.082188492503328,6.81996314313248,0.0,0.0,0.12209013883626729,0.12209013883626718
2021-01-01,6.445345152452463,2.9178385553339155,6.445345152452463,0.0,0.0,0.10263789469994944,0.10263789469994933
2022-01-01,6.674866119402218,3.014930247471424,6.674866119402218,0.0,0.0,0.11476173104737886,0.11476173104737875
2023-01-01,6.536482214305058,2.957398643678819,6.536482214305058,0.0,0.0,0.10739452130816168,0.10739452130816163
2024-01-01,6.619291655028214,2.991539373304489,6.619291655028214,0.0,0.0,0.11181942941643597,0.11181942941643586
