,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,0.7825381838378194,0.7400833101916131,0.8084532074423771,0.0,0.0,0.0,1.0022216051096913,-0.21968342127187013,0.0
2018-01-01,6.085807623588158,3.4910199337132726,5.854159860672064,0.0,0.0,0.0,3.6220184366181476,2.463789186970008,0.0
2019-01-01,1.9770003887126002,1.213919952568952,1.7557597790058268,0.0,0.0,0.0,1.7215823328992799,0.2554180558133208,0.0
2020-01-01,5.474521611278485,2.9594879623878585,5.142457050613999,0.0,0.0,0.0,3.4718148791938264,2.0027067320846568,0.0
2021-01-01,2.570125875179423,1.4525477464659227,2.2943642138896347,0.0,0.0,0.0,2.0484378434149924,0.5216880317644306,0.0
2022-01-01,4.997995634211332,2.692836799451168,4.666118386529956,0.0,0.0,0.0,3.2464757844891725,1.7515198497221571,0.0
2023-01-01,2.964908778455076,1.651853173981792,2.679375920590812,0.0,0.0,0.0,2.242676478998702,0.7222322994563732,0.0
2024-01-01,4.6634857086692225,2.522437739156949,4.340117504936082,0.0,0.0,0.0,3.0800717805564375,1.5834139281127824,0.0
