,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,9.433246788525786,1.3602397127254742,4.207963823125542,1.2398570889169584,0.1359313503241495,1.7449934063509644,3.1207818455920737
2018-01-01,56.51204850989569,3.6619079002160033,24.81782832497019,4.30326237907438,7.105290637530759,5.159891789926894,16.568444806532032
2019-01-01,23.288471509235826,2.2959118065759254,10.88125945758059,1.28562509096239,1.4364142367827828,1.3801193964233773,4.102158724168554
2020-01-01,51.2799269011435,3.697853305336307,22.88229895450153,3.0765318171371474,5.712781941409994,3.938975707099725,12.728289465646869
2021-01-01,29.585747140410362,2.73934347146006,13.647651981201363,1.3031521651900366,2.1460427365524914,1.5957957583388591,5.044990660081389
2022-01-01,47.396664558864224,3.581396405392273,21.207422025324462,2.541506976845135,4.975057928512747,3.344976199008484,10.861541104366367
2023-01-01,33.22112902564309,2.9224880328878955,15.13149313326955,1.4525715022868884,2.7239885858013952,1.8905369888325518,6.067097076920836
2024-01-01,44.61047737309396,3.442437439289474,19.945069233968756,2.2887799409973795,4.578841557687327,3.055341398409996,9.922962897094703
