,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,4.500000000000006,2.0,4.500000000000003,0.0,0.0,-0.49999999999999967,1.0000000000000036,3.5,-0.49999999999999967
2018-01-01,1.2640099626401078,1.6199252801992539,1.0775840597758455,0.0,0.0,-0.4530510585305104,-1.8647571606475664,3.1287671232876724,-0.45305105853051064
2019-01-01,0.21704272117790513,1.3360027543039883,0.212407860312128,0.0,0.0,-0.3224778190130725,-3.2156702217245696,3.432712942902474,-0.3224778190130727
2020-01-01,0.5402788654762407,1.4183329601998427,0.6842681166823281,0.0,0.0,-0.3283688335855153,-3.4388967238885817,3.9791755893648224,-0.3283688335855155
2021-01-01,0.25269869721724003,1.3266862356108455,0.40289785921957044,0.0,0.0,-0.4566057290928619,-4.038962405110673,4.2916611023279145,-0.4566057290928621
2022-01-01,-0.7455825589832017,1.1747099125757376,-0.6002373924623932,0.0,0.0,-0.5375819158378893,-5.242518297320774,4.496935738337571,-0.5375819158378897
2023-01-01,-1.746503362446787,0.9938241940992159,-1.5590028043577293,0.0,0.0,-0.5789337523853858,-6.514164148479824,4.7676607860330344,-0.5789337523853862
2024-01-01,-2.52231756130623,0.8574393766020285,-2.269296450131649,0.0,0.0,-0.6233560386720233,-7.646572549204643,5.124254987898411,-0.6233560386720237
