,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,9.010273076696425,3.075746936334242,7.228592616580665,0.0,0.09414875776346202,0.0,0.09414875776346199
2018-01-01,8.140949746609536,2.8314677024602855,6.77380632016578,0.0,0.06550519500699042,0.0,0.0655051950069904
2019-01-01,9.097145374472875,2.8649806514363343,7.280915533629316,0.0,0.08634467503026272,0.0,0.08634467503026269
2020-01-01,8.909139899657946,2.761242024076823,7.1484844376595005,0.0,0.07869633571643306,0.0,0.07869633571643303
2021-01-01,9.278542053821862,2.7623757692959883,7.347279587838015,0.0,0.08619112874365584,0.0,0.08619112874365581
2022-01-01,9.250777554057247,2.7183500994374787,7.317576231835128,0.0,0.08402012556172761,0.0,0.08402012556172755
2023-01-01,9.403256052500797,2.712937040563191,7.397951500972694,0.0,0.08689346582475654,0.0,0.08689346582475649
2024-01-01,9.41211330166075,2.6935283655067823,7.39616826122425,0.0,0.08636240606195023,0.0,0.0863624060619502
