,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,3.3012820512820618,3.0897435897435805,4.74358974358975,0.0,0.0,0.0,0.0
2018-01-01,3.798980933596342,2.1209730440499617,3.1333004602235457,0.0,0.0,0.0,0.0
2019-01-01,2.563835996898141,3.0913008479576347,4.5260287597565725,0.0,0.0,0.0,0.0
2020-01-01,4.030661658326315,2.2462060843565883,3.26110993861527,0.0,0.0,0.0,0.0
2021-01-01,2.3076315235214997,3.055597752868358,4.350004276568855,0.0,0.0,0.0,0.0
2022-01-01,4.00437536948524,2.358079961651404,3.37244950591743,0.0,0.0,0.0,0.0
2023-01-01,2.279660868147314,3.0081240136765905,4.211644915260695,0.0,0.0,0.0,0.0
2024-01-01,3.8762235180253697,2.451142797029055,3.4645427949951815,0.0,0.0,0.0,0.0
