,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,5.500000000000005,3.499999999999999,5.500000000000005,0.0,0.0,0.0,0.0
2018-01-01,5.250000000000005,3.25,5.250000000000005,0.0,0.0,0.0,0.0
2019-01-01,5.375000000000005,3.375,5.375000000000005,0.0,0.0,0.0,0.0
2020-01-01,5.312500000000004,3.3124999999999996,5.312500000000004,0.0,0.0,0.0,0.0
2021-01-01,5.343750000000005,3.34375,5.343750000000005,0.0,0.0,0.0,0.0
2022-01-01,5.328125000000005,3.328125,5.328125000000005,0.0,0.0,0.0,0.0
2023-01-01,5.335937500000005,3.3359375,5.335937500000005,0.0,0.0,0.0,0.0
2024-01-01,5.332031250000005,3.33203125,5.332031250000005,0.0,0.0,0.0,0.0
