,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,-510.6337556060768,-23.899612482152147,-183.85301726877532,-20.4300018099152,-99.03706587575921,-54.282175137610785,-173.74924282328382
2018-01-01,-207.27083485977678,-10.266975109452542,-93.66249842861971,-18.12186937561994,-0.13828928445850597,-7.506370038110941,-25.76652869818899
2019-01-01,1357.1624022577782,68.87425303900605,484.4791338637618,58.66181228134785,189.69817078222417,126.1794322261601,374.5394152897315
2020-01-01,449.8230444672411,24.076756672927477,180.90859985894696,36.561372403485635,-15.342395630826513,14.12158185077364,35.34055862343412
2021-01-01,-1829.8196879082295,-92.00874711836266,-664.6189222008977,-80.09848156254678,-268.0688047802075,-170.44424249115602,-518.611528833909
2022-01-01,-74.3305211071926,-4.458142062136485,-60.040004734601276,-28.619262152172485,92.30094416739125,31.656084920146572,95.33776693536602
2023-01-01,3060.5173030593173,155.12313967076292,1111.642537200681,139.7335747347465,410.5008677369744,273.39118907228243,823.6256315440027
2024-01-01,-249.27571947927905,-10.895980753378435,-44.806512402272524,28.34260771232267,-205.17871498864582,-84.14548943821715,-260.98159671454124
