,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,5.909811694747278,3.8463825569871197,4.2760158572844436,0.0,0.0,0.0,4.036669970267593,1.8731417244796842,0.0
2018-01-01,4.15032055406201,3.291784740114005,4.185682671614541,0.0,0.0,0.0,1.993259377200835,2.1570611768611743,0.0
2019-01-01,4.705370553788021,3.1563768373221235,4.024494870145858,0.0,0.0,0.0,2.8989098141284435,1.8064607396595762,0.0
2020-01-01,4.4469170532451985,3.1103326675573078,4.0742072221613395,0.0,0.0,0.0,2.568464588586161,1.8784524646590373,0.0
2021-01-01,4.588919192213948,3.128479702917283,4.042067199858067,0.0,0.0,0.0,2.77511474408119,1.8138044481327569,0.0
2022-01-01,4.497470937480228,3.114700572595599,4.0420441298745295,0.0,0.0,0.0,2.6680109795085114,1.8294599579717161,0.0
2023-01-01,4.518068805383689,3.1080185678414156,4.0237724893786755,0.0,0.0,0.0,2.7147974439729037,1.8032713614107851,0.0
2024-01-01,4.487444874304579,3.0973328429796045,4.017114653544569,0.0,0.0,0.0,2.688625421768773,1.798819452535805,0.0
