,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,4.838932437476659,3.764091078760728,4.838932437476659,0.0,0.0,0.0,2.0248226950354535,2.814109742441208,0.0
2018-01-01,4.581514624202366,3.3595962179956875,4.581514624202366,0.0,0.0,0.0,3.626842078789852,0.9546725454125141,0.0
2019-01-01,5.331126301291153,3.282275561773898,5.331126301291153,0.0,0.0,0.0,3.4862051957027433,1.84492110558841,0.0
2020-01-01,5.015124171222842,3.0975986537169424,5.015124171222842,0.0,0.0,0.0,3.6723975343843542,1.3427266368384883,0.0
2021-01-01,5.2470487928276,3.084373669258083,5.2470487928276,0.0,0.0,0.0,3.7283875499453805,1.5186612428822206,0.0
2022-01-01,5.18058569673674,3.034964862121547,5.18058569673674,0.0,0.0,0.0,3.751472857534781,1.4291128392019594,0.0
2023-01-01,5.226557453154326,3.0270713454583733,5.226557453154326,0.0,0.0,0.0,3.7756587193874775,1.4508987337668486,0.0
2024-01-01,5.21920123581492,3.0153747287432497,5.21920123581492,0.0,0.0,0.0,3.780857334729187,1.4383439010857324,0.0
