,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women,Total_Medals
2017-01-01,5.459119496855354,1.4968553459119498,5.459119496855354,0.0,0.0,0.46540880503144644,5.097484276729558,0.3616352201257873,0.4654088050314465
2018-01-01,5.618468415015239,2.968474348324837,5.618468415015239,0.0,0.0,0.45510462402595253,4.768175705074946,0.8502927099402775,0.45510462402595275
2019-01-01,4.098842842923529,1.9213124356447584,4.098842842923529,0.0,0.0,0.15932702586451242,3.183267463645704,0.915575379277811,0.15932702586451264
2020-01-01,5.319418045233901,2.1560030785399094,5.319418045233901,0.0,0.0,0.5632394803574027,4.667339618783882,0.6520784264500081,0.5632394803574028
2021-01-01,5.034873233564188,2.7378344587446737,5.034873233564188,0.0,0.0,0.42788783145857223,4.138449463761208,0.8964237698029662,0.42788783145857223
2022-01-01,4.451653974430183,2.0131304113882806,4.451653974430183,0.0,0.0,0.28184387277462986,3.6279245073405555,0.8237294670896154,0.28184387277462997
2023-01-01,5.222408217759085,2.28611778748603,5.222408217759085,0.0,0.0,0.49785915389763846,4.510529723367568,0.7118784943915049,0.4978591538976386
2024-01-01,4.894114610263575,2.5003380440013703,4.894114610263575,0.0,0.0,0.3825617582044424,4.029995463690465,0.8641191465730949,0.3825617582044424
