,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,4.292912816273513,3.1572658026039964,4.289967819078269,0.0,0.0,0.0,0.0
2018-01-01,3.0208319207459313,3.246666741511932,3.5290866040532687,0.0,0.0,0.0,0.0
2019-01-01,2.327331334469924,3.4064745909364618,3.1319499332467653,0.0,0.0,0.0,0.0
2020-01-01,1.8336288428801737,3.5884590134107777,2.880168150545018,0.0,0.0,0.0,0.0
2021-01-01,1.4622877762398323,3.782304766401182,2.7126649229877646,0.0,0.0,0.0,0.0
2022-01-01,1.1563010567572851,3.980604925135572,2.589893186786894,0.0,0.0,0.0,0.0
2023-01-01,0.8872215450055343,4.179682885212214,2.491638270318814,0.0,0.0,0.0,0.0
2024-01-01,0.6396026783319835,4.377575586678025,2.407002685063389,0.0,0.0,0.0,0.0
