,Athletes,Sports,Events,Gold,Silver,Bronze,Total_Medals
2017-01-01,9.345535614656077,5.267569445296788,9.108511980766988,0.0,0.7752446326222011,0.0,0.7752446326222009
2018-01-01,4.0412598395666794,1.9298989830677478,3.9790701868145613,0.0,-0.07816143950956539,0.0,-0.07816143950956558
2019-01-01,10.265287429271067,4.559003397400016,9.375952424457784,0.0,0.19576547119490478,0.0,0.1957654711949048
2020-01-01,7.090863145050122,3.657904733192551,6.711676231230658,0.0,0.21948723318134772,0.0,0.21948723318134752
2021-01-01,7.409718535148439,3.4785437547774336,6.890304347737056,0.0,0.08791969056109389,0.0,0.08791969056109414
2022-01-01,8.2166853132884,3.928231877418627,7.626377030305696,0.0,0.1753373413703167,0.0,0.1753373413703165
2023-01-01,7.467430694919841,3.6379039670839353,6.977579390425403,0.0,0.14863315673891225,0.0,0.14863315673891206
2024-01-01,7.777033197865899,3.7130054400836925,7.231511498315294,0.0,0.13873642555851057,0.0,0.13873642555851037
